microchip;species;sex;size;potentDangerous;neighborhood
97810108191876;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900032001933212;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900113000007963;CANINO;MACHO;MEDIANO;NO;USAQUEN
900113000009612;CANINO;MACHO;PEQUEÑO;NO;USAQUEN
900113000295781;CANINO;MACHO;GRANDE;NO;USAQUEN
900113000295784;CANINO;MACHO;GRANDE;NO;USAQUEN
900113000295907;CANINO;HEMBRA;MUY GRANDE;NO;USAQUEN
900113000295909;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900113000295917;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900113000295919;CANINO;MACHO;MUY GRANDE;NO;USAQUEN
900113000295920;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900113000295929;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900113000295962;CANINO;MACHO;MINIATURA;NO;USAQUEN
900113000422515;CANINO;MACHO;MEDIANO;NO;USAQUEN
900113000422561;CANINO;MACHO;GRANDE;NO;USAQUEN
900113000422579;CANINO;HEMBRA;MINIATURA;NO;USAQUEN
900113000447440;CANINO;MACHO;GRANDE;NO;USAQUEN
900118000412478;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900164000577889;CANINO;MACHO;GRANDE;NO;USAQUEN
900164001219612;CANINO;HEMBRA;PEQUEÑO;NO;USAQUEN
900250000247451;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000247458;FELINO;MACHO;PEQUEÑO;NO;USAQUEN
900250000247467;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000247787;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000269512;CANINO;HEMBRA;GRANDE;NO;USAQUEN
900250000291856;CANINO;MACHO;GRANDE;NO;USAQUEN
900250000413832;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000481117;FELINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000481123;FELINO;HEMBRA;MINIATURA;NO;USAQUEN
900250000481188;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
900250000481254;CANINO;HEMBRA;MEDIANO;NO;USAQUEN
